Created with UCDetector 2.0.0	2022-10-14 17:06:56	http://www.ucdetector.org/	Created by class: org.ucdetector.report.TextReport	
simulator.CirSim.circuitNeedsMap(CirSim.java:184)	Change visibility of Field "CirSim.circuitNeedsMap" to private	CirSim.circuitNeedsMap	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.useFrame(CirSim.java:185)	Field "CirSim.useFrame" has 0 references	CirSim.useFrame	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.scopeCount(CirSim.java:186)	Change visibility of Field "CirSim.scopeCount" to private	CirSim.scopeCount	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.scopes(CirSim.java:187)	Change visibility of Field "CirSim.scopes" to private	CirSim.scopes	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.scopeColCount(CirSim.java:188)	Change visibility of Field "CirSim.scopeColCount" to private	CirSim.scopeColCount	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.expDialog(CirSim.java:191)	Field "CirSim.expDialog" has 0 references	CirSim.expDialog	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.dumpTypes(CirSim.java:192)	Change visibility of Field "CirSim.dumpTypes" to private	CirSim.dumpTypes	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.shortcuts(CirSim.java:192)	Change visibility of Field "CirSim.shortcuts" to private	CirSim.shortcuts	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.clipboard(CirSim.java:195)	Change visibility of Field "CirSim.clipboard" to private	CirSim.clipboard	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.circuitArea(CirSim.java:196)	Change visibility of Field "CirSim.circuitArea" to private	CirSim.circuitArea	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.undoStack(CirSim.java:197)	Change visibility of Field "CirSim.undoStack" to private	CirSim.undoStack	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.redoStack(CirSim.java:197)	Change visibility of Field "CirSim.redoStack" to private	CirSim.redoStack	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.ventilatorIndex(CirSim.java:200)	Field "CirSim.ventilatorIndex" is never read	CirSim.ventilatorIndex	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.startCircuit(CirSim.java:209)	Field "CirSim.startCircuit" has 0 references	CirSim.startCircuit	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.startLabel(CirSim.java:210)	Field "CirSim.startLabel" has 0 references	CirSim.startLabel	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.startCircuitText(CirSim.java:211)	Field "CirSim.startCircuitText" has 0 references	CirSim.startCircuitText	org.ucdetector.analyzeMarkerReference	
